City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
1367,Igarapava,overcast clouds,69.85,-20.0383,-47.7469,Ângelo Palace Hotel Igarapava
1368,Kanel,broken clouds,71.62,15.4916,-13.1763,
1369,Richards Bay,light rain,76.84,-28.783,32.0377,BON Hotel Waterfront Richards Bay
1370,Burnie,overcast clouds,65.68,-41.0667,145.9167,Beachfront Voyager Motor Inn
1372,Puerto Leguizamo,overcast clouds,78.1,-0.1934,-74.7819,la casona de juancho
1374,Tinguindin,clear sky,61.41,19.75,-102.4833,Hotel Meson de La Calle Real
1384,Abu Dhabi,clear sky,62.6,24.4667,54.3667,Beach Rotana
1387,Gbadolite,broken clouds,68.49,4.2833,21.0167,Zenic
1388,Talara,overcast clouds,74.84,-4.5772,-81.2719,Hostal Oro Negro
1389,Kourou,broken clouds,80.6,5.1552,-52.6478,Lodge Takini 4
1394,Tomohon,scattered clouds,82.4,1.3346,124.8392,Gardenia Country Inn
1395,Poum,overcast clouds,80.94,-20.2333,164.0167,Gîte kajeon
1398,Kilindoni,overcast clouds,80.02,-7.9139,39.6668,Bustani B&B
1402,Anton Lizardo,broken clouds,75.99,19.05,-95.9833,Hotel CocoAventura
1404,Algiers,clear sky,60.8,36.7525,3.042,Sofitel Algiers Hamma Garden
1406,Lahij,broken clouds,67.53,13.1667,44.5833,
1408,Gambela,scattered clouds,78.35,8.25,34.5833,Solomon Debebe Hotel
1412,Sitangkai,overcast clouds,81.73,4.6628,119.3928,
1413,Quarai,scattered clouds,72.25,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
