City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Description
133,Tasiilaq,65.6145,-37.6368,12.2,67,40,3.44,2021-02-01 02:52:45,
134,Kaitangata,-46.2817,169.8464,66.99,63,9,11.99,2021-02-01 02:52:46,
135,Nanzhou,29.3596,112.4024,51.33,82,79,4.38,2021-02-01 02:52:46,
136,Suileng,47.25,127.0833,-4.61,90,100,16.73,2021-02-01 02:52:46,
137,Rio Gallegos,-51.6226,-69.2181,59.0,44,0,12.66,2021-02-01 02:51:22,
138,Port Augusta,-32.5,137.7667,71.6,64,40,24.16,2021-02-01 02:52:46,
139,Ancud,-41.8697,-73.8203,57.2,77,0,6.91,2021-02-01 02:52:46,
140,Bonavista,48.6499,-53.1147,30.99,93,100,6.91,2021-02-01 02:48:01,
141,Kondinskoye,59.6481,67.41,5.16,95,59,8.32,2021-02-01 02:52:47,
142,Kutum,14.2,24.6667,55.04,34,0,4.25,2021-02-01 02:48:43,
143,Zhangye,38.9342,100.4517,28.54,62,0,3.96,2021-02-01 02:52:47,
144,Inhambane,-23.865,35.3833,78.89,87,0,8.63,2021-02-01 02:51:21,
145,Beringovskiy,63.05,179.3167,15.96,96,100,32.61,2021-02-01 02:52:47,
146,Ambon,-3.6954,128.1814,89.6,62,40,8.05,2021-02-01 02:52:48,
147,Sitka,57.0531,-135.33,37.4,60,20,4.0,2021-02-01 02:48:23,
148,Badvel,14.75,79.05,73.35,75,14,4.27,2021-02-01 02:52:48,
149,New Norfolk,-42.7826,147.0587,73.4,49,75,11.5,2021-02-01 02:50:44,
150,Mikhaylov,54.2292,39.0186,23.0,73,81,13.71,2021-02-01 02:52:48,
151,Chizhou,30.6578,117.4831,49.39,94,100,4.81,2021-02-01 02:48:30,
152,Marawi,7.9986,124.2928,79.0,83,100,5.01,2021-02-01 02:52:48,
153,Valparaiso,-33.0393,-71.6273,60.28,85,10,9.64,2021-02-01 02:48:29,
154,Brigantine,39.4101,-74.3646,36.0,93,90,17.27,2021-02-01 02:52:49,
155,Ziro,27.6333,93.8333,45.86,64,0,2.33,2021-02-01 02:52:49,
156,Hami,42.8,93.45,30.13,73,0,6.67,2021-02-01 02:52:49,
157,Pevek,69.7008,170.3133,-23.44,85,16,3.71,2021-02-01 02:52:49,
158,Georgetown,5.4112,100.3354,84.99,61,20,11.5,2021-02-01 02:48:20,
159,Manohar Thana,24.24,76.8018,61.27,29,0,3.6,2021-02-01 02:52:49,
160,Grindavik,63.8424,-22.4338,28.4,74,0,14.97,2021-02-01 02:52:49,
161,Beloha,-25.1667,45.05,76.57,76,0,5.17,2021-02-01 02:52:50,
162,Ribeira Grande,38.5167,-28.7,63.25,84,99,31.7,2021-02-01 02:52:50,
163,Dombasle-Sur-Meurthe,48.6252,6.3497,44.6,100,90,5.75,2021-02-01 02:52:50,
164,Broome,42.2506,-75.833,23.0,86,90,8.05,2021-02-01 02:48:20,
165,Maroantsetra,-15.4333,49.7333,75.38,86,100,3.74,2021-02-01 02:52:50,
166,Anaconda,46.1285,-112.9423,30.2,55,1,5.75,2021-02-01 02:52:50,
167,Pacific Grove,36.6177,-121.9166,54.0,85,94,5.03,2021-02-01 02:52:50,
168,Taltal,-25.4,-70.4833,67.17,70,0,6.58,2021-02-01 02:52:50,
169,Lompoc,34.6391,-120.4579,55.4,67,1,4.61,2021-02-01 02:52:50,
170,Port-Cartier,50.0334,-66.8654,21.2,58,0,5.75,2021-02-01 02:47:51,
171,Port Hardy,50.6996,-127.4199,42.8,93,90,9.22,2021-02-01 02:47:53,
172,Bantry,51.6833,-9.45,44.6,100,75,13.8,2021-02-01 02:52:51,
173,Turukhansk,65.8167,87.9833,-11.38,90,100,9.17,2021-02-01 02:52:51,
174,Esfahan,32.6572,51.6776,21.2,53,0,6.91,2021-02-01 02:52:51,
175,Vestmanna,62.1564,-7.1664,24.8,93,70,4.61,2021-02-01 02:52:51,
176,Mount Gambier,-37.8333,140.7667,66.2,63,90,17.27,2021-02-01 02:50:10,
177,Bathsheba,13.2167,-59.5167,78.8,65,20,25.32,2021-02-01 02:52:51,
178,Aswan,24.0934,32.907,54.73,47,0,6.73,2021-02-01 02:52:52,
179,Celestun,20.8667,-90.4,72.91,76,0,14.79,2021-02-01 02:52:52,
180,Jining,35.405,116.5814,50.4,39,100,9.86,2021-02-01 02:52:52,
181,Port Blair,11.6667,92.75,82.2,71,0,16.62,2021-02-01 02:52:52,
182,East London,-33.0153,27.9116,72.54,73,11,22.08,2021-02-01 02:52:52,
183,Klaksvik,62.2266,-6.589,24.8,93,98,4.61,2021-02-01 02:52:52,
184,Bafoulabe,13.8065,-10.8321,70.23,18,95,3.74,2021-02-01 02:52:52,
185,Sur,22.5667,59.5289,68.04,59,0,1.57,2021-02-01 02:52:52,
186,Hofn,64.2539,-15.2082,26.11,84,100,7.54,2021-02-01 02:48:05,
187,Qaanaaq,77.484,-69.3632,-4.34,88,100,1.61,2021-02-01 02:52:53,
188,Abakaliki,6.3163,8.1169,75.2,50,50,4.59,2021-02-01 02:52:53,
189,Shubarshi,48.5872,57.1869,15.13,92,3,6.17,2021-02-01 02:52:53,
190,Saint Anthony,45.0205,-93.218,32.0,74,90,9.22,2021-02-01 02:52:53,
191,Shitanjing,39.2342,106.3439,18.27,67,0,9.13,2021-02-01 02:52:53,
192,Nacala,-14.5428,40.6728,77.59,88,99,7.31,2021-02-01 02:52:53,
193,Varna,43.2167,27.9167,51.8,76,40,9.22,2021-02-01 02:48:24,
194,Tadine,-21.55,167.8833,79.52,69,72,19.01,2021-02-01 02:52:54,
195,Liberal,37.0431,-100.921,32.0,69,1,4.05,2021-02-01 02:52:54,
196,Fare,-16.7,-151.0167,81.66,72,33,8.63,2021-02-01 02:52:54,
197,Codrington,-38.2667,141.9667,65.86,67,73,12.64,2021-02-01 02:48:26,
198,Huangnihe,43.5583,128.0239,14.16,93,90,14.09,2021-02-01 02:52:54,
199,Chuguyevka,44.1653,133.8633,35.35,87,91,11.34,2021-02-01 02:52:54,
200,Fushun,41.8558,123.9233,14.0,52,100,8.95,2021-02-01 02:52:54,
201,Broken Hill,-31.95,141.4333,86.0,19,95,8.05,2021-02-01 02:52:55,
202,Kholodnyy,62.7167,147.95,-23.6,81,100,7.05,2021-02-01 02:52:55,
203,Gamba,-2.65,10.0,77.2,87,100,5.41,2021-02-01 02:52:55,
204,Preobrazheniye,42.9019,133.9064,35.1,91,100,9.89,2021-02-01 02:52:55,
205,Superior,46.7208,-92.1041,28.4,93,90,2.26,2021-02-01 02:52:55,
206,Kiama,-34.6833,150.8667,82.99,77,67,5.99,2021-02-01 02:52:55,
207,Zharkent,44.1628,80.0,24.39,71,75,1.03,2021-02-01 02:50:07,
208,Madang,-5.2246,145.7966,81.36,82,99,8.12,2021-02-01 02:52:55,
209,Vestmannaeyjar,63.4427,-20.2734,33.12,87,99,17.9,2021-02-01 02:52:55,
210,Princeton,25.5384,-80.4089,71.6,94,20,8.88,2021-02-01 02:52:56,
211,Arraial Do Cabo,-22.9661,-42.0278,76.55,85,100,25.72,2021-02-01 02:51:51,
212,Iqaluit,63.7506,-68.5145,6.8,72,90,14.97,2021-02-01 02:48:38,
