City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,Gamba,-2.65,10.0,75.29,92,100,4.38,GA,2021-01-27 22:50:59
301,Dingle,10.9995,122.6711,75.65,90,100,7.05,PH,2021-01-27 22:50:59
302,Anchorage,61.2181,-149.9003,15.01,79,1,3.44,US,2021-01-27 22:48:35
303,Walvis Bay,-22.9575,14.5053,68.0,82,0,6.91,NA,2021-01-27 22:50:59
304,Bengkulu,-3.8004,102.2655,75.33,89,100,5.73,ID,2021-01-27 22:49:54
305,Kodinsk,58.6881,99.1844,-8.88,89,100,5.1,RU,2021-01-27 22:50:59
306,Pisco,-13.7,-76.2167,75.2,60,0,8.05,PE,2021-01-27 22:50:06
307,Manjakandriana,-18.9167,47.8,68.0,88,75,4.61,MG,2021-01-27 22:50:59
308,San Lorenzo,-25.3333,-57.5333,86.0,70,75,3.44,PY,2021-01-27 22:50:59
309,Kamenka,51.3223,42.7678,32.0,97,100,13.98,RU,2021-01-27 22:51:00
310,Harper,4.375,-7.7169,78.71,84,12,8.39,LR,2021-01-27 22:51:00
311,Cabo Frio,-22.8794,-42.0186,77.0,78,0,16.11,BR,2021-01-27 22:51:00
312,Zilair,52.2332,57.4392,13.5,94,83,4.97,RU,2021-01-27 22:51:00
313,Plettenberg Bay,-34.0527,23.3716,62.56,80,90,1.63,ZA,2021-01-27 22:51:00
314,Faanui,-16.4833,-151.75,81.19,74,1,13.65,PF,2021-01-27 22:51:00
315,Rocha,-34.4833,-54.3333,66.69,80,0,7.61,UY,2021-01-27 22:51:00
316,Laguna,38.421,-121.4238,50.0,76,90,24.16,US,2021-01-27 22:51:00
317,Marzuq,14.4,46.4667,56.12,56,0,1.45,YE,2021-01-27 22:50:52
318,San Rafael,-34.6177,-68.3301,86.72,18,24,5.7,AR,2021-01-27 22:51:01
319,Kurdzhinovo,43.9884,40.9552,40.69,67,98,7.47,RU,2021-01-27 22:51:01
320,Sinjai,-5.1241,120.253,78.22,77,100,5.55,ID,2021-01-27 22:51:01
321,Takab,36.4009,47.1133,28.54,70,77,1.97,IR,2021-01-27 22:51:01
322,Ribas Do Rio Pardo,-20.4431,-53.7592,76.33,82,72,2.55,BR,2021-01-27 22:51:01
323,Sharan,54.8167,54.0,21.04,94,100,14.56,RU,2021-01-27 22:51:01
324,Shenjiamen,29.9576,122.298,44.76,80,63,14.56,CN,2021-01-27 22:51:01
325,Pointe Michel,15.25,-61.3833,78.8,69,20,1.14,DM,2021-01-27 22:51:02
326,Tual,-5.6667,132.75,84.13,76,100,16.73,ID,2021-01-27 22:50:57
327,Olenino,56.2092,33.4889,23.09,98,98,4.09,RU,2021-01-27 22:51:02
